ORG,SPACE,APPLICATION,STATE,INSTANCES,MEMORY,DISK
system,apps-manager,apps-manager-blue,STOPPED,1,1024 MB,1024 MB
system,apps-manager,apps-manager-green,STARTED,1,1024 MB,1024 MB
system,app-usage-service,app-usage-service,STARTED,1,1024 MB,1024 MB
system,app-usage-service,app-usage-service-scheduler,STARTED,1,1024 MB,1024 MB
system,app-usage-service,app-usage-service-worker,STARTED,1,1024 MB,1024 MB
system,notifications-with-ui,notifications-ui,STARTED,1,64 MB,1024 MB
system,autoscaling,autoscale,STARTED,1,256 MB,1024 MB
dr,lab,pcf-status,STARTED,1,8 MB,12 MB
demo,sandbox,autoscaler-test-app,STARTED,1,1024 MB,1024 MB
demo,sandbox,java-kill,STARTED,1,1024 MB,1024 MB
demo,sandbox,pcf-get-env-variables-go,STARTED,2,56 MB,56 MB
dr,lab,test,STOPPED,2,64 MB,1024 MB
dr,lab,Test01,STOPPED,2,1024 MB,1024 MB
demo,sandbox,config-server,STARTED,1,1024 MB,1024 MB
dr,lab,testApp01,STARTED,1,32 MB,1024 MB
sandbox,lots-of-apps,testApp000,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,Test,STOPPED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp001,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp002,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp003,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp004,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp005,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp006,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp007,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp008,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp009,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp010,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp011,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp012,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp013,STOPPED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp014,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp015,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp016,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp017,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp018,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp019,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp020,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp021,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp022,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp023,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp024,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp025,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp026,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp027,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp028,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp029,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp030,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp031,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp032,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp033,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp034,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp035,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp036,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp037,STARTED,1,10 MB,10 MB
sandbox,lots-of-apps,testApp038,STARTED,1,10 MB,10 MB
